	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)
VARIABLES	POLS	POLS with control	FE	FE with control	POLS	POLS with control	FE	FE with control
								
1.OBOR	437.0	-977.9*			-0.0695	-8.002***		
	(308.4)	(537.4)			(0.590)	(2.344)		
2014.year	21.10	-70.91	-32.75	-70.91	0.463	0.551	0.500	0.551
	(82.99)	(171.4)	(88.66)	(103.6)	(0.404)	(0.867)	(0.457)	(0.524)
0b.OBOR#2012b.year	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
0b.OBOR#2014o.year	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
1o.OBOR#2012b.year	0	0	0	0	0	0	0	0
	(0)	(0)	(0)	(0)	(0)	(0)	(0)	(0)
1.OBOR#2014.year	-31.74	-482.8	-449.4	-482.8	-0.231	-0.963	-0.676	-0.963
	(484.0)	(905.3)	(492.5)	(546.8)	(0.837)	(2.142)	(1.137)	(1.294)
2.country		-60.83				-9.899***		
		(554.1)				(3.719)		
3.country		645.6				-1.521		
		(1,672)				(5.829)		
4.country		1,880				-25.94		
		(5,685)				(41.28)		
5.country		1,119				-17.07*		
		(1,463)				(9.171)		
6.country		-224.1				-15.19		
		(1,980)				(13.85)		
7.country		-932.8***				-2.746*		
		(245.8)				(1.560)		
8.country		-687.0*				-8.482***		
		(408.9)				(1.295)		
9.country		-1,292				-7.609		
		(4,994)				(13.34)		
10.country		676.0				-2.596		
		(1,893)				(8.769)		
11.country		164.1				-26.21		
		(3,965)				(31.93)		
13.country		1,437				-3.832		
		(2,157)				(9.296)		
14.country		-512.2				-9.289***		
		(818.0)				(2.877)		
16.country		-71.29				-18.52		
		(2,478)				(18.24)		
17.country		1,718				-24.51		
		(5,504)				(40.11)		
18.country		-235.0				-10.51		
		(1,595)				(8.334)		
21.country		-367.9				-9.201***		
		(386.8)				(2.480)		
22.country		-541.9***				-6.832***		
		(194.0)				(1.343)		
23.country		-1,535				-10.64*		
		(2,136)				(6.175)		
24.country		-154.0				-7.258		
		(1,745)				(6.115)		
26.country		-1,146				-14.87**		
		(1,346)				(5.904)		
27.country		-778.5*				-4.950***		
		(449.3)				(1.867)		
28.country		-478.8				-8.872**		
		(1,035)				(4.434)		
29.country		-443.1				-13.09		
		(1,312)				(8.957)		
30.country		-630.9				-11.62**		
		(749.6)				(5.112)		
31.country		1,867				-17.69		
		(4,976)				(32.19)		
33.country		-346.6				-11.31		
		(1,395)				(7.999)		
35.country		310.9				-11.70***		
		(597.1)				(4.389)		
38.country		-1,213				-10.80		
		(3,479)				(8.707)		
39.country		-294.2				-8.156		
		(1,408)				(5.510)		
41.country		-159.0				-14.37		
		(1,743)				(9.822)		
43.country		-834.8***				-7.896***		
		(297.7)				(1.427)		
44.country		-784.2***				-6.067***		
		(262.8)				(0.951)		
45.country		-765.3				-5.894***		
		(493.9)				(1.755)		
46.country		239.3				-18.28		
		(2,928)				(18.74)		
48.country		-241.9				-8.327		
		(1,388)				(6.368)		
50.country		-2,552				-16.01		
		(8,687)				(21.61)		
51.country		-16,934				-85.84		
		(51,128)				(125.6)		
52.country		2,098				-7.807		
		(1,265)				(5.773)		
54.country		1,414				-20.93		
		(4,811)				(36.45)		
55.country		-595.8				-9.967*		
		(864.4)				(5.217)		
56.country		399.0				-0.686		
		(1,267)				(5.110)		
57.country		2,135				-6.103		
		(1,624)				(10.14)		
58.country		428.2				-5.490*		
		(1,253)				(3.210)		
59.country		956.9				2.506		
		(1,146)				(4.202)		
60.country		884.3				8.336*		
		(1,683)				(5.003)		
61.country		2,042				-26.07		
		(6,026)				(42.58)		
62.country		4,820***				5.604		
		(1,544)				(3.878)		
64.country		-793.5				-0.0482		
		(620.6)				(5.313)		
65.country		-461.8				-12.18		
		(1,295)				(9.599)		
67.country		1,426*				1.980		
		(847.5)				(3.584)		
68.country		-678.4				-5.148		
		(773.5)				(4.924)		
69.country		-1,003*				-11.00***		
		(583.2)				(2.562)		
71.country		-901.1***				-8.805***		
		(261.2)				(1.858)		
72.country		1,407				1.462		
		(3,189)				(11.91)		
75.country		-852.7***				-5.433***		
		(105.8)				(1.100)		
77.country		-145.7				-1.606		
		(728.5)				(4.326)		
78.country		1,316				-2.797		
		(2,151)				(9.193)		
79.country		-313.9				-9.390*		
		(1,126)				(4.741)		
80.country		-899.3				-7.216**		
		(634.1)				(3.312)		
81.country		-539.9				-6.691*		
		(897.3)				(3.394)		
83.country		-825.8***				-6.871***		
		(170.5)				(1.265)		
84.country		1,141				-6.380		
		(2,476)				(12.54)		
85.country		-334.3				-9.591		
		(1,177)				(6.825)		
86.country		-937.6***				-5.899***		
		(220.6)				(1.157)		
87.country		-2,556				-19.44		
		(6,241)				(15.82)		
90.country		43.93				2.192		
		(240.8)				(1.642)		
91.country		329.8				-32.46		
		(4,944)				(40.38)		
92.country		6,275				-8.347		
		(5,822)				(15.42)		
93.country		-859.6				-12.43***		
		(658.0)				(4.371)		
100.country		-882.5***				-5.767***		
		(172.0)				(1.112)		
101.country		-490.5				-8.730**		
		(1,104)				(3.413)		
102.country		-822.7***				-8.577***		
		(58.81)				(0.304)		
104.country		-680.3				-0.139		
		(462.2)				(1.482)		
106.country		411.6				-1.978		
		(1,313)				(6.307)		
109.country		182.9				-15.50		
		(2,839)				(17.08)		
111.country		-698.8				-7.349***		
		(460.9)				(1.700)		
112.country		-584.3				-8.005***		
		(770.7)				(2.451)		
113.country		-115.9				-6.783		
		(1,155)				(6.691)		
114.country		328.4				2.015		
		(908.7)				(2.489)		
116.country		162.0				-6.999		
		(2,437)				(8.432)		
117.country		-715.6				-6.886		
		(681.5)				(5.091)		
119.country		-521.9				-10.35**		
		(867.5)				(4.596)		
120.country		-195.5				-11.96		
		(2,023)				(11.08)		
121.country		-432.0				-5.248		
		(1,484)				(4.107)		
122.country		-953.7				-5.221*		
		(979.4)				(2.919)		
123.country		3,107***				-4.231		
		(560.8)				(3.702)		
124.country		-281.0				-16.95		
		(1,964)				(14.63)		
125.country		215.2				-1.585		
		(475.9)				(2.713)		
126.country		-647.0				-17.58		
		(1,673)				(14.01)		
127.country		-444.8				-6.760		
		(1,924)				(8.169)		
128.country		-335.2				-7.353*		
		(1,240)				(3.984)		
129.country		-567.4				-8.689**		
		(817.2)				(4.292)		
132.country		-377.3				-3.305*		
		(443.7)				(1.876)		
133o.country		-				-		
								
pop		1.37e-05		1.37e-05		6.80e-08		6.80e-08
		(4.13e-05)		(2.49e-05)		(1.01e-07)		(6.08e-08)
gdppc		-0.0262		-0.0262		0.000689		0.000689
		(0.136)		(0.0823)		(0.00116)		(0.000702)
import		3.126		3.126		-0.00985		-0.00985
		(11.12)		(6.719)		(0.0994)		(0.0600)
export		-10.81		-10.81		0.0267		0.0267
		(26.34)		(15.91)		(0.114)		(0.0689)
1o.OBOR			-	-			-	-
								
Constant	153.0***	844.2	362.6***	238.7	2.656***	7.243*	2.675***	-4.285
	(47.38)	(630.5)	(69.43)	(811.2)	(0.256)	(3.989)	(0.207)	(4.833)
								
Observations	171	155	171	155	171	155	171	155
R-squared	0.037	0.750	0.045	0.053	0.007	0.653	0.016	0.045
Number of country			104	95			104	95
Robust standard errors in parentheses								
*** p<0.01, ** p<0.05, * p<0.1								
