	(1)	(2)	(3)
VARIABLES	POLS clustered(robust)	POLS with controls(robust)	OBOR with country dummies
			
OBOR	0.375	0.646	-5.331***
	(0.598)	(0.645)	(1.843)
2011.year	0.0929	0.146	0.242
	(0.411)	(0.423)	(0.441)
2012.year	-0.410	-0.371	-0.433
	(0.382)	(0.377)	(0.359)
2013.year	-0.137	-0.126	-0.269
	(0.418)	(0.429)	(0.421)
2014.year	0.0124	0.160	-0.109
	(0.463)	(0.492)	(0.520)
2.country			-7.032***
			(1.847)
3.country			-2.935
			(3.244)
4.country			-16.22
			(12.46)
5.country			-9.211***
			(3.411)
6.country			-12.80***
			(4.168)
7.country			-5.097***
			(1.816)
8.country			-6.786***
			(1.672)
9.country			8.743
			(11.25)
10.country			-4.687
			(3.893)
11.country			-17.59**
			(8.806)
12.country			-4.805
			(3.097)
13.country			-4.940
			(3.616)
14.country			-8.018***
			(1.363)
15.country			0.855
			(15.90)
16.country			-14.32***
			(5.345)
17.country			-15.77
			(12.43)
18.country			-8.875***
			(2.912)
19.country			-7.809***
			(1.325)
20.country			-11.22***
			(3.926)
21.country			-6.833***
			(1.490)
22.country			-4.034***
			(1.475)
23.country			-3.293
			(5.046)
24.country			-6.853**
			(2.814)
26.country			-6.403*
			(3.328)
27.country			-6.406***
			(2.036)
28.country			-9.220***
			(2.011)
29.country			-11.13***
			(2.927)
30.country			-9.893***
			(1.900)
31.country			-12.87
			(9.679)
33.country			-9.801***
			(2.813)
34.country			-8.319***
			(2.240)
35.country			-7.745***
			(1.702)
36.country			1.004
			(4.982)
37.country			-8.529***
			(1.265)
38.country			1.512
			(7.335)
39.country			-7.233***
			(2.716)
40.country			-9.324***
			(1.949)
41.country			-11.83***
			(3.594)
42.country			-4.249
			(3.101)
43.country			-4.049***
			(1.556)
44.country			-6.250***
			(1.379)
45.country			-7.910***
			(1.439)
46.country			-13.90**
			(5.990)
47.country			-10.40***
			(2.787)
48.country			-8.487***
			(2.373)
49.country			-1.623
			(1.229)
50.country			13.09
			(19.38)
51.country			75.10
			(110.4)
52.country			-0.419
			(4.285)
53.country			-3.209*
			(1.899)
54.country			-13.19
			(10.74)
55.country			-9.336***
			(1.989)
56.country			-3.147
			(2.681)
57.country			-4.928
			(3.865)
58.country			-1.359
			(2.941)
59.country			-1.624
			(2.717)
60.country			10.35***
			(3.143)
61.country			-16.88
			(13.02)
62.country			1.714
			(2.696)
63.country			-5.426
			(3.931)
64.country			-1.436
			(1.952)
65.country			-10.48***
			(2.257)
67.country			3.952*
			(2.360)
68.country			-6.716***
			(2.031)
69.country			-6.777***
			(1.856)
71.country			-6.626***
			(1.141)
72.country			-4.218
			(4.549)
73.country			-4.381
			(9.213)
74.country			-4.198
			(3.413)
75.country			-6.047***
			(1.119)
76.country			-17.07*
			(8.717)
77.country			1.422
			(2.264)
78.country			-5.089
			(3.987)
79.country			-8.975***
			(1.984)
80.country			-5.243***
			(1.682)
81.country			-7.729***
			(1.621)
82.country			-9.567***
			(3.325)
83.country			-5.440***
			(1.620)
84.country			-3.714
			(4.008)
85.country			-9.393***
			(2.392)
86.country			-4.809***
			(1.055)
87.country			2.393
			(14.04)
90.country			3.987*
			(2.104)
91.country			-18.79*
			(10.74)
92.country			16.89
			(17.79)
93.country			-8.346***
			(1.945)
94.country			2.945
			(5.803)
100.country			-5.516***
			(1.354)
101.country			-5.254**
			(2.207)
102.country			-6.867***
			(1.217)
104.country			-2.972
			(2.999)
106.country			-4.329
			(3.146)
109.country			-12.55**
			(4.886)
111.country			-6.449***
			(1.328)
112.country			-8.418***
			(1.238)
113.country			-0.209
			(3.691)
114.country			-1.773
			(2.105)
115.country			-5.338
			(3.498)
116.country			-8.286**
			(3.355)
117.country			-7.188***
			(2.099)
119.country			-9.328***
			(1.702)
120.country			-2.021
			(4.546)
121.country			0.0350
			(3.386)
122.country			-2.277
			(2.691)
123.country			-1.586
			(1.762)
124.country			-12.82***
			(4.199)
125.country			-0.905
			(1.376)
126.country			-10.05**
			(4.018)
127.country			2.382
			(5.409)
128.country			-7.248***
			(2.468)
129.country			-9.254***
			(1.899)
131.country			-7.466**
			(3.664)
132.country			-4.776**
			(2.024)
133o.country			-
			
pop		-1.44e-09	-6.20e-08
		(9.77e-10)	(8.98e-08)
gdppc		-0.000100***	0.000340
		(3.26e-05)	(0.000306)
import		-0.00293	-0.00953
		(0.0133)	(0.0229)
export		0.00297	0.0252
		(0.0138)	(0.0352)
Constant	2.923***	3.430***	9.249***
	(0.350)	(0.668)	(1.803)
			
Observations	440	407	407
R-squared	0.007	0.060	0.551
Robust standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
